Category Name,total_profit,avg_profit_per_order,total_revenue,order_count,risk_score,data_coverage,revenue_growth_recent_vs_hist_pct,profit_score_0to1,investment_score,investment_rank
Fishing,731576.187154917,44.084133001200186,6637668.282544999,16595,50.1,sparse,,1.0,49.9,1
Cleats,474629.509778761,20.18497532443485,4244594.00794948,23514,50.8,sparse,,0.6486595269377318,31.9,2
Camping & Hiking,409895.618131102,31.154185462575207,3946837.004727,13157,48.6,sparse,,0.5601445231754737,28.8,3
Cardio Equipment,362984.698572351,30.380373164743137,3533289.20670256,11948,49.4,sparse,,0.49600006784387485,25.1,4
Women'S Apparel,334335.529528769,16.620378282400527,3011600.0,20116,49.2,sparse,,0.4568261321954388,23.2,5
Water Sports,308981.340066355,20.76487500445934,2981851.281228,14880,50.0,sparse,,0.42215764373394316,21.1,6
Indoor/Outdoor Games,302403.770481192,16.372700080194477,2765543.31469184,18470,49.9,sparse,,0.41316369046219864,20.7,7
Men'S Footwear,296711.090172701,13.954338060137374,2763977.4869465,21263,49.5,sparse,,0.4053797058121481,20.5,8
Shop By Sport,125077.030333224,11.895105119659915,1253395.63045454,10515,52.5,sparse,,0.17069291245338178,8.1,9
Computers,69232.11015882,162.8990827266353,637500.0,425,35.6,sparse,,0.09433239721902345,6.1,10
Garden,32750.270120061,70.2795496138648,248182.2879686,466,39.3,sparse,,0.04444832372841593,2.7,11
Electronics,38510.059927146,12.73480817696627,356836.39314178,3024,55.3,sparse,,0.05232407170937917,2.3,12
Crafts,25473.88005577,55.61982544927948,211357.845038,458,42.3,sparse,,0.03449882621601562,2.0,13
Children'S Clothing,26726.609624273,42.968825762496785,222116.20379419997,622,46.6,sparse,,0.03621176760802514,1.9,14
Cameras,29604.429904605,52.67692153844306,254046.484777,562,57.3,sparse,,0.040146804826661164,1.7,15
Women'S Clothing,18729.249924592,29.681854080177498,136182.4246063,631,39.4,sparse,,0.025276439823958677,1.5,16
Music,14094.009921902,33.79858494460911,108691.04745630002,417,42.2,sparse,,0.018938364422741674,1.1,17
Girls' Apparel,16916.259982596,14.877977117498679,142986.61061824,1137,58.0,sparse,,0.022797416742661888,1.0,18
Accessories,15752.160069262,9.282357141580436,128073.74887904001,1697,59.9,sparse,,0.02120566463899967,0.9,19
Consumer Electronics,12752.289925905001,31.179192972872862,103427.9220041,409,49.2,sparse,,0.017103740434120933,0.9,20
Health And Beauty,9281.119995114,26.82404622865318,101391.842941,346,37.3,sparse,,0.012357376332365074,0.8,21
Sporting Goods,11240.760107198,33.454643176184526,110124.0,336,46.1,sparse,,0.0150369240542586,0.8,22
Golf Gloves,13653.670023068,13.268872714351797,111906.710430886,1029,61.6,sparse,,0.018336258063771163,0.7,23
Golf Shoes,11603.530142503,23.114601877496014,103591.0,502,56.5,sparse,,0.015532963921823361,0.7,24
Baseball & Softball,12239.200068043,20.163426800729816,90522.86245406,607,57.9,sparse,,0.01640215816333413,0.7,25
Dvds,7168.830074564,15.618366175520697,75450.4222491,459,33.7,sparse,,0.009469100260811693,0.6,26
