country,order_count,historical_mean_days,recent_window_mean_days,data_coverage,forecast_mean_days,status
Estados Unidos,23720,3.49,,sparse,3.52,ok
Francia,12612,3.49,3.65,sparse,3.68,ok
México,12605,3.54,,sparse,3.84,ok
Alemania,9154,3.51,3.6,sparse,3.33,ok
Australia,8136,3.52,3.44,active,3.39,ok
Brasil,7579,3.55,,sparse,3.88,ok
Reino Unido,6992,3.48,3.3,sparse,3.78,ok
China,5499,3.52,3.54,active,3.55,ok
Italia,4763,3.45,3.39,sparse,3.5,ok
India,4589,3.52,3.47,active,3.5,ok
Indonesia,4021,3.49,3.56,active,3.72,ok
España,3729,3.44,3.67,sparse,4.64,ok
El Salvador,3599,3.56,,sparse,4.38,ok
República Dominicana,3527,3.53,,sparse,4.02,ok
Honduras,3494,3.5,,sparse,3.11,ok
